MD5;ROM Serial;Name (No-Intro);is_synthetic
5428271D0C9C5EB3DBF28078FAFE2031;CGB-BF2P-0;F1 World Grand Prix II for Game Boy Color (Europe) (En,Fr,De,Es);True
BCEEB4182DA245DB9402DD55EEDBA53F;CGB-BF2J-0;F1 World Grand Prix II for Game Boy Color (Japan) (En,Ja);True
69A6EBC942C7D0ECEF2E514989DEBDE6;CGB-BF2E-0;F1 World Grand Prix II for Game Boy Color (USA) (En,Fr,De,Es);False
0591D5637B4C9F304340D941B2AE9E7A;DMG-AFUJ-0;Fairy Kitty no Kaiun Jiten - Yousei no Kuni no Uranai Shugyou (Japan) (SGB Enhanced) (GB Compatible);True
2E3288D0D0B41D6FCC6BEC6676A78A3E;CGB-BBIJ-0;Ferret Monogatari (Japan);True
128DC75244ECC2F74D1E50551D888127;DMG-AFOP-0;FIFA 2000 (USA, Europe) (SGB Enhanced) (GB Compatible);False
EDF021B521A496FE7AFC5E15949F5C80;CGB-BFQP-0;Fish Files, The (Europe) (En,Fr,De,Es,It);True
9F77ADBB0A6AF7BD85D21A8EF9FDEA49;CGB-BFFP-0;Fix & Foxi - Episode 1 Lupo (Europe) (En,Fr,De);True
50E6D9D88450932743161B7512838CCC;CGB-BFSE-0;Flintstones, The - Burgertime in Bedrock (USA);True
1DA7187971155F0AED9FFEA798F6E2A6;CGB-BFLP-0;Flipper & Lopaka (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da);True
2A447279016F60776B5C0F515B5B97F5;CGB-BFCE-0;Force 21 (USA) (En,Fr,De);True
3E7736B358B7750BB451D505816D8B11;CGB-BFME-0;Formula One 2000 (USA);True
21AE960E6C5A42B498B00FA6F635B1E1;CGB-BYDP-0;Fort Boyard (Europe) (En,Fr,De,Es,It,Nl,Pt);True
D5EBDBEDA4156B34E3C0F01D55A4221C;DMG-AFRP-0;Frogger (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible);False
D94E22B4C08AB3C7B1929F5490ADCBF2;DMG-AFRE-0;Frogger (USA) (GB Compatible);True
06B0D6B88E54337F3F5C7BBEA373F237;CGB-BH2E-0;Frogger 2 (USA);True
B883323E9AE3C85548169BABE3F9B4F0;DMG-BZOJ-0;From TV Animation One Piece - Maboroshi no Grand Line Boukenki! (Japan) (SGB Enhanced) (GB Compatible);False
DA5586315CA857071D557A8FDE26C108;DMG-BLUJ-0;From TV Animation One Piece - Yume no Luffy Kaizokudan Tanjou! (Japan) (SGB Enhanced) (GB Compatible);False
8C3BCD751EBC34ABC02E666D8FF057C4;CGB-BFRJ-0;Front Line - The Next Mission (Japan);True
579291571DAC53916FD552CCEA5B0BB9;CGB-AZDJ-0;Front Row (Japan);True
9E3D4FF0BA3D6DEEC5080F6DBED4FEF8;CGB-AFMJ-0;Fushigi no Dungeon - Fuurai no Shiren GB2 - Sabaku no Majou (Japan);True
6BB272F9361D57D9796CF2BB3615BF1A;CGB-BGIJ-0;Gaiamaster Duel - Card Attackers (Japan);True
