MD5;Name (No-Intro);Size;Dump Type;Good Dump;Date;Datter;Cart Serial;PCB;ROM Serial;Stamp
FD1F17AA8C4B5C2963DB8B0444673A3D;Battleship (USA, Europe) (GB Compatible);1048576;Trusted Dump;TRUE;25 01 2014;BigFred;DMG-AIPP-EUR;DMG-A07-01;DMG-AIPP-0;22;
4B146CE804A9B9C90467742508A67B5F;BattleTanx (Europe) (En,Fr,De);1048576;Trusted Dump;TRUE;10 10 2010;root;CGB-AVNP-UKV;;CGB-AVNP-0;;
4CA71B12D89A5BCFCC52095081AE9F51;BattleTanx (USA);1048576;Third Party;TRUE;01 01 1990;root;CGB-AVNE-USA;;;;
576E3A9D7DA60439C8FB28C81B56FE5A;Beach'n Ball (Europe) (En,Fr,De,Es,It);1048576;Trusted Dump;TRUE;12 10 2010;root;CGB-BVBP-EUR;;;;
82880772EBD67B839C497DFE4308A0A0;Bear in the Big Blue House (Europe) (En,Fr,De,Es,It,Nl);1048576;Trusted Dump;TRUE;10 10 2010;root;CGB-BBNP-EUR;;;;
82880772EBD67B839C497DFE4308A0A0;Bear in the Big Blue House (Europe) (En,Fr,De,Es,It,Nl);1048576;Trusted Dump;TRUE;25 01 2014;Tauwasser;CGB-BBNP-EUR;DMG-A07-01;CGB-BBNP-0;22;
AFE51A74C6967711DDD263E3998B7AFD;Bear in the Big Blue House (USA) (En,Fr,De,Es,It,Nl);1048576;Trusted Dump;TRUE;10 09 2010;Tauwasser;CGB-BB7E-USA;DMG-A07-01;CGB-BB7E-0;;
E7C022031CB882912E81970EB63D4F61;Beatmania GB (Japan) (SGB Enhanced) (GB Compatible);1048576;Trusted Dump;TRUE;23 08 2014;BigFred;DMG-AOOJ-JPN;;DMG-AOOJ-0;;
490CF7B762F7B735F249C3A3107C3E55;Beatmania GB - Gotcha Mix 2 (Japan);2097152;Third Party;TRUE;01 01 1990;root;CGB-B3GJ-JPN;;;;
25F20CDC0F6F70D0BC5430A9B0D48742;Beatmania GB2 - Gotcha Mix (Japan) (SGB Enhanced) (GB Compatible);1048576;Trusted Dump;TRUE;01 08 2015;xuom2;DMG-A2GJ-JPN;;;;
6D51DCD9012C1140F73D7FD753698ABF;Beauty and the Beast - A Board Game Adventure (Europe) (En,Fr,De,Es,It) (SGB Enhanced) (GB Compatible);1048576;Trusted Dump;TRUE;14 01 2012;BigFred;DMG-AVUP-EUR;;;;
6D51DCD9012C1140F73D7FD753698ABF;Beauty and the Beast - A Board Game Adventure (Europe) (En,Fr,De,Es,It) (SGB Enhanced) (GB Compatible);1048576;Trusted Dump;TRUE;28 03 2013;Tauwasser;DMG-AVUP-EUR;DMG-A06-01;DMG-AVUP-0;9;
FA826469AB786988785B6EF36E902010;Beauty and the Beast - A Board Game Adventure (USA) (SGB Enhanced) (GB Compatible);1048576;Third Party;TRUE;01 01 1990;root;DMG-AVUE-USA;;;;
39E9649316E36BAD957E98A2170DF6D0;Benjamin Bluemchen - Ein verrueckter Tag im Zoo (Germany);2097152;Trusted Dump;TRUE;12 10 2010;root;CGB-BB5D-NOE;;;22;
B061DB3DD5861ADDEAF22A83AF802491;Beyblade - Fighting Tournament (Japan);2097152;Third Party;TRUE;01 01 1990;root;CGB-B8VJ-JPN;;;;
237662AB7A441DE5042F347342C6080B;Bibi Blocksberg - Im Bann der Hexenkugel (Germany);1048576;Trusted Dump;TRUE;30 01 2014;Tauwasser;CGB-BIBD-NOE;DMG-A07-01;CGB-BIBD-0;22;
E91752013F0FB62CF0E52873C412CEEB;Bibi und Tina - Fohlen Felix in Gefahr (Germany);1048576;Trusted Dump;TRUE;10 09 2010;root;CGB-BFED-NOE-1;;CGB-BFED-0;;
E91752013F0FB62CF0E52873C412CEEB;Bibi und Tina - Fohlen Felix in Gefahr (Germany);1048576;Trusted Dump;TRUE;30 01 2014;Tauwasser;CGB-BFED-NOE-1;DMG-A07-01;CGB-BFED-0;8;
4CF9559ECE4F20E20F0A0DF646F4B68B;Bikkuriman 2000 - Charging Card GB (Japan) (SGB Enhanced) (GB Compatible);2097152;Third Party;TRUE;01 01 1990;root;;;;;
4CF9559ECE4F20E20F0A0DF646F4B68B;Bikkuriman 2000 - Charging Card GB (Japan) (SGB Enhanced) (GB Compatible);2097152;Third Party;TRUE;31 03 2018;Tauwasser;DMG-BC2J-JPN;DMG-A08-01;DMG-BC2J-0;22;
